x_mm,y_mm,r_mm,ekin_MeV
-4.27573,-2.59351,0.0418162,5.38252
-0.936137,5.02502,0.052436,5.4392
-9.19592,-5.06008,0.0763769,5.44301
6.63662,-2.30051,0.0805188,5.4389
9.1183,5.74256,0.106972,5.47784
5.41945,-2.56771,0.11587,5.42256
-6.14088,-3.47962,0.130814,5.43848
-10.6333,13.7827,0.131908,5.45047
-4.66782,5.5229,0.135094,5.44023
4.41284,-7.84691,0.135203,5.48533
7.0454,0.298591,0.136221,5.39701
0.283632,1.43255,0.13684,5.4393
-0.229104,0.447296,0.138435,5.42735
6.54796,4.57093,0.146314,5.46461
0.0420894,5.20828,0.148333,5.45037
-1.25741,-4.01922,0.153086,5.43323
9.94671,5.23507,0.158926,5.45006
-6.89232,-4.40727,0.159844,5.443
-0.319454,1.93613,0.16221,5.47335
0.53869,-10.6579,0.164137,5.36682
-3.81111,7.35945,0.166767,5.46221
-6.95789,7.084,0.168842,5.40854
1.50947,-1.29241,0.168899,5.45374
3.93715,-8.6644,0.171328,5.44224
6.80106,-7.02587,0.172218,5.41767
-4.83225,3.26853,0.174556,5.35942
3.46494,5.65681,0.181176,5.46252
8.14379,-3.11396,0.182579,5.43594
-0.759735,-7.9428,0.182927,5.44971
-5.60522,7.0239,0.187176,5.39429
-9.32745,5.65639,0.188115,5.42116
-7.33139,-6.88242,0.191355,5.45837
4.70642,-7.26909,0.200619,5.42436
7.18461,3.43664,0.208118,5.44856
-3.15195,6.03739,0.208221,5.437
-2.03912,-0.879181,0.211875,5.37837
4.01451,-0.36442,0.214645,5.44133
-1.59892,-3.40948,0.219062,5.43342
4.30403,5.47711,0.221852,5.45913
-6.52165,-1.8222,0.223579,5.45175
3.92645,-5.75344,0.224007,5.47559
1.43944,1.94674,0.226677,5.45588
-0.0825153,7.60629,0.226758,5.47515
-4.51419,-8.20892,0.229508,5.46819
9.19805,-2.82561,0.23162,5.4518
-3.79899,-3.88973,0.231722,5.42726
-7.33397,5.31308,0.232141,5.46892
6.33159,-0.19812,0.234355,5.42238
-4.19671,-4.56575,0.234785,5.43602
8.33858,9.91183,0.235111,5.44076
